text,actual_label,predicted_label
"""Tim Chaisson is heading out on an Australian Tour with his first stop in Newcastle, NSW on the 13th. His new tour...",Positive,Neutral
So whos seeing Peacock and Gamble tomorrow who can get me a ticket because I haven\u2019t got a card. I have the money\u002c I\u2019ll give it to you there,Neutral,Negative
My friday night consists of bingewatching Inside Amy Schumer on my pc with my flatmate next to me on my bed watching something scary on hers,Neutral,Positive
Big Thurs coming in HS Football: Richwood @ Ouachita\u002c Grambling @ OCS\u002c & St. Fred @user Will have you covered all wk @user,Neutral,Negative
"""Selena Gomez &amp; Kris Jenner May Have Teamed Up &amp; Weirdly, That's Not the Worst Idea - #GoogleAlerts""",Positive,Negative
Is anyone going to go see Kendrick at day for night tomorrow?!?,Neutral,Positive
Jiujitsu test tomorrow... I think it might be the first time im nervous about... Anything in almost a year,Negative,Positive
"""Scott Walker thinks building a wall between the US &amp; anything is legitimate. His Wall dreams will cost taxpayers an arm, leg &amp; 1st born.""",Negative,Neutral
@user WHSmith I think? Or an Amazon Prime account would get it there by tomorrow,Neutral,Negative
Went to the Shepard Fairey exhibition yesterday at Stolen Gallery just off Brick Lane. Fantastic art - on till Nov 4th so still time to go!!,Positive,Neutral
"""There are perks of being an Oakland Raider. One of them: Ice Cube takes care of you. On Wednesday night, the...",Positive,Neutral
#Trayvon My daily tweet (9-09) in memory of Trayvon Martin- killed 197 days ago. ~May you Rest in Peace~ (Praying and hoping for the family),Neutral,Positive
Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!,Positive,Neutral
"""Naruto volume 70 from @user  ranks at #7, marking its 8th week on the New York Times Manga Bestsellers""",Positive,Neutral
"""Shawn literally is like:""""show tomorrow ! Tickets on sale right now go get them """" like thanks for the warning ...""",Neutral,Positive
John Cena will become my favorite wrestler ever if this angle leads to him beating the snot out of Jon Stewart on Raw tomorrow. #Summerslam,Positive,Neutral
Amazon Prime Day sales up 18 per cent on Black Friday: Amazon has detailed its plans to make Prime Day an annu...,Positive,Neutral
All the talk will be about Nicki and Miley tomorrow. Nothing else has been talk worthy. #VMAs,Neutral,Negative
"""remember when ashton tweeted me about the 1st atlanta meetup :,)""",Positive,Neutral
Briana just sat her ass there while Matt said he's done with her sister? This chic!  She deserves everything she gets! #LittleWomenLA,Negative,Neutral
@user Tuesday morning raw is awesome John cena with AAAA,Positive,Neutral
Nokia N9 in nine seconds: By Ian posted on the 13th of July 2011 at 8:35AM GLOBAL - The Nokia N9 is fast. So fast that a regular 30-s...,Positive,Neutral
Nuno Espirito Santo has been a nice surprise. Valencia currently 2nd in La Liga. Beat Atletico Madrid on the weekend.,Positive,Neutral
"@user @user small words ms Curtis, he's still a 4th grader mentally""",Negative,Neutral
Storms are starting to pop. Storm motion today in Tampa Bay is NW at 10-15mph so if you see dark skies to your SE...,Neutral,Positive
"""Ya know, John Kasich actually seems like a real human being with a real record.. Too bad that may or may not mean anything""",Negative,Neutral
Pride parade is on the 20th next month..let's hope I don't end up in the hospital again :-),Neutral,Positive
RICHARD BLAND PPL why are you guys going back tomorrow if we don't have classes monday,Neutral,Negative
"""You can catch these guys performing late night at the Gin Mill and Grille in Northampton, PA this Friday!! This...",Neutral,Positive
@user Morgan may be next face of US women's soccer: They just didn't know who her opponent w... Youth Soccer,Neutral,Negative
"some days I want to blast fleetwood Mac, some days I want to blast biggie and others blast taking back Sunday.",Neutral,Positive
#np Ni**as In Paris - JayZ & Kanye\u002c cant wait to see the live in June #watchthethrone,Positive,Neutral
Kanye West to run for President? Making Kim the First 1st Lady with a sex tape.,Negative,Neutral
@user Hahaha you clearly have never seen AF live. Clueless. Regarded by Rolling Stone as the 4th best live band around.,Positive,Neutral
You may feel you\u2019re alone\u002c But I\u2019m here still with you. You can do what you dream Just remember to listen to the rain ~by: Amy Lee,Neutral,Positive
"@user @user if he can play then I hope he plays against barca, on the 20th",Neutral,Positive
I hope Tom Brady gets fucking clobbered about 699 times next Sunday,Negative,Positive
"Iniesta is the 3rd best after Messi and Ronaldo, no one comes close, not Neymar not Hazard #spain",Positive,Negative
Starting to know how Paul Dunne felt yesterday walking to the 1st tee,Neutral,Positive
Pancakes for a dollar tomorrow at Ihop... you're welcome,Positive,Neutral
Andrew Luck featured in the latest Rolling Stone and on the cover!  NFL Kickoff is this Thursday!  Colts regular...,Positive,Neutral
Would you believe CNN wsnts to deny Carly Fiorina a spot in the ma8n September 16th 'debate.' Very wrong and stupid,Negative,Positive
"""No doubt, George Osborne dreams Daniel Craig will play him in the biopic. All (dyed) Lego hair + macho black jackets.",Positive,Neutral
Now I'm talking to my big sister and she's telling me that Kane's telling her he is going out on sat and I'm like yhhh I know with me,Positive,Negative
Scott Walker said Sunday he is open to building a wall on the U.S. border with Canada. (Idiot) #tcot,Negative,Neutral
"@user Trust me when I say that you are not alone, Kerry; mile 11 of Sunday's half marathon felt worse than mile 23 of my 1st full!",Neutral,Negative
"@user i could pick up my dog, my 2nd cousin and david beckham and still get top 3 at that event, pls win it",Neutral,Positive
"""\""""""""Twinkle Toes D\"""""""" Really\u002c Laurin? That\u2019s why you\u2019re just my 2nd favorite Lolo Jones.""",Neutral,Negative
I literally had actual plans to go to Disneyland on Thursday and now I don't. This is what the broken heart emoji was made for,Neutral,Negative
@user F3 bro from @user is cooking in the FiddleNPig shindig BBQ peoples choice comp w/Holy Smoke team Sat in Ft Mill Google it,Neutral,Positive
"""2-run HR by Jackie Bradley Jr., Red Sox now up 7-2 over Toronto, what a 2nd half he has had""",Positive,Neutral
@user and I\u2019ll pull out the Kentucky Derby  picture from 9th grade. #blackmail,Negative,Neutral
Hammond: we now have a balanced budget with an affordable equipment programme\u002c backed by what will still be the 4th largest defence budget.,Positive,Negative
@user yah I know it's on. But it keeps saying Monday night football and says MNF on the scoreboard. I'm just confused bc it's Thursday,Negative,Positive
Very gruesome terrible injury for Marcus Lattimore (2nd year in a row) be strong\u002c the injury was similar to Mcgahee from 2003 Fiesta Bowl.,Negative,Positive
"""Emma Stone in Miu Miu dress at Paris Fashion Week show, matching umbrella and lippie we applaud you! via @user",Positive,Neutral
Aaron Brooks and Marcus Thornton combine to go 8-25 and we lose to the Bulls by 6. Everybody have a good Thursday.,Neutral,Positive
Dana White &amp; Joe Silva are scum bag atheists and Ronda Rousey is endorsing Bernie Sanders. Don't give them your money. Stream the UFC on Sat,Negative,Positive
"""LOL. So Haryana has a day off tomorrow because it\u2019s \""""""""Haryana Day\"""""""".""",Positive,Neutral
I'll believe it when I see it...Frank Ocean got my trust fucked up,Negative,Positive
"""May Allah forgive me if Im wrong for saying this but I think Allah is testing Muslims with wars, etc to purify us and wake us up""",Neutral,Negative
Crappity-crap! I'm always away when he comes to town! Paul McCartney to play ACC on Oct. 17,Negative,Neutral
Who's going to be at Zac Brown Band next Sunday?,Neutral,Positive
@user @user hahaha NAT!  I feel a resurgence in the 2nd half #itshowyoufinish #gotheeeem,Positive,Neutral
"@user I don't get it, they hate Christians and march for Islam, Christians may not agree with their lifestyle but we don't kill""",Neutral,Negative
I wish I was out MD I wanna bear on Negros shit is fun \u002c going out Sunday to Ross snighter Sunday Finna pop off on TWL,Positive,Negative
Kim Kardashian's 'Kimoji' app broke the App Store: Kim launched Kimoji's Monday -- Kim-themed emojis -- and the response was crazy.,Positive,Neutral
"@user don't question the monarchy, but look at its butthurtedness. Then, tomorrow, look! Baby pictures. Prince George and shit.""",Negative,Positive
Since tomorrow is my birthday & all\u002c I\u2019m gonna listen to every song with  the word birthday in it... Birthday Cake\u002c Birthday Girl...,Neutral,Positive
@user Model Search tomorrow between 9am-12.30pm at Westfield Parramatta. Applications available on the day.,Neutral,Positive
June 28th was the last time David Price threw less than 100 pitches in a game #Price #BlueJays,Neutral,Positive
"""YOU cannot stop YAHWEH ELOHIM BUSINESS. YAHWEH ELOHIM HAS BESTOWED HIS Powers ON Janet Jackson and it's SEALED IN YAHWE""""S 9th SEAL .""",Negative,Neutral
"So here I am, 00:30 in the morning sat looking for updates on the situation on Twitter and Madonna, material world comes on. Brilliant",Positive,Neutral
I look forward to Sunday's Big Brother so we can find out exactly what the actual fuck just happened in that double eviction episode. #BB17,Positive,Negative
"""Can't believe what's her face, prince George's mum, is pregnant for the 3rd time""",Neutral,Positive
@user Nintendo should stop making Mario Party and make GOLDEN SUN 4 BABY. ...I'll see myself out.,Negative,Positive
November 21 in the lonely hour tour.. OKAY SAM SMITH OKAY!!!! :-(((( TAPOS SOLD OUT PA OKAY!!!!! OKAY LANG TALAGA,Negative,Neutral
I got my sister's kids to watch Sharknado. They're asking about the 3rd one already,Positive,Negative
@user my cousin says everything he needs to know about Islam he learned on September 11th,Negative,Neutral
"Soundchecking in Grateful Dead Listening Party with Sunshine Daydream, (DVD), Veneta, Oregon, Aug 27 1972",Neutral,Positive
"""Listen to the wind blow, watch the sun rise."" Fleetwood Mac - The Chain [Studio Version] via @user",Neutral,Positive
#Nationals #mlb David Wright returns to the Mets Monday night. That's not necessarily a good thing.,Negative,Positive
Hidind the scars from all the kids at the OGT's tomorrow will be hard.. *sigh* :'(,Negative,Neutral
"@user shhh, cant talk bad about Islam...they may fly a plane into a building....let them do what they want #LibLogic""",Neutral,Negative
"@user links are working fine on my IOS device. Some times on the first click I get a ""open in safari ?"" Cancel it &amp; do a 2nd click. Works",Positive,Neutral
"""1st day after Eid Vacation.  Had a wonderful time all through. It was a bit raining in the evening, but enjoyed...",Positive,Neutral
"""#TheNext is on the CW Network in 30 minutes! You may already be in front of the tube, so tune in and support @user w/us!""",Positive,Neutral
"""THE HOBBIT TRILOGY may have been flawed, but Ian McKellan and Cate Blanchett are friends now, so it was all worth it.""",Positive,Negative
Woah! What a way to kick off Monday Night Raw with Brock Lesnar!,Positive,Neutral
Serena beat her sister Venus in the quarter finals.She is 2 matches away to the 4th successive Grand Slam in a row #USOpen2015,Positive,Neutral
@user nooooo I am possibly going to be in dayton tomorrow night!!! :(,Negative,Positive
"""At last, evidence that George Osborne's drive to make work more attractive that benefits is working. #makeworkpay",Positive,Neutral
#fakta on the 8th of Mar 191 Cao Cao attempted an assassination of Dong Zhuo; an evil tyrant ruling by puppeting the last Emperor of Han.,Negative,Neutral
#NHL #CBA -- NHL source tells John Buccigross that the league will cancel Winter Classic and All-Star game next Monday if no CBA.,Neutral,Negative
@user awesome. May the latter belief make you question why Islam is so targeted and guide you to the right religion at some point,Neutral,Positive
"""Milan must win this game. Doesn't matter how. They must win it. Otherwise, it's back to the Pippo days - being 8th in the league.""",Positive,Negative
Ric Flair is also telling friends he may replace Hogan on #ToughEnough,Positive,Neutral
"""After an almost 60-year career, Lloyd Robertson broadcasts his last @user Sept 1, he joins us next""",Positive,Neutral
"Obama gets Iran victory, TABOR gets another black eye, &amp; Rick Perry prepares for the end. #copolitics #copols #coleg",Positive,Negative
"""ABUJA, Aug 30 (Reuters) - Nigeria's security agency said on Sunday it had made significant breakthroughs in the fight against Boko Haram""",Positive,Negative
De La Soul is Sunday at Clockenflap?! WTF! At least they had the decency to sched Uptown Rockers for Saturday @user #NYinHK,Negative,Neutral
@user it's a lot bigger than you may think just take a look at Hannibal,Positive,Negative
True religion? I give fk to any and Islam comes 1st in the q @user,Negative,Neutral
Nokia n95: solidly hand out until the ides of march.: UvQEDAk,Positive,Neutral
Listening to lady gaga makes me not want to go to work tomorrow,Neutral,Negative
@user well then you need to take Kendrick Lamar off cause his last album wasn't good you probably just going off of Black Friday ....,Negative,Positive
"""It's too bad the Red Sox didn't play this well in April, May, June, and July""",Negative,Neutral
@user @user may I please have the picture of the seatplan for The Vamps Concert please,Neutral,Positive
"""He then said """"Kendrick Lamar will be the a huge rapper"""". He may be a genius""",Positive,Negative
"$SYT: Syngenta comments on Monsanto (MON) announcement, confirms revised proposal, which it rejected saying it...",Neutral,Negative
"@user i think YouGov needs to be treated with caution after their rougue indyref poll&amp;Labour were 5,5,5&amp;7 ahead upto Thursday&amp;then an""",Negative,Neutral
@user @user me and Kendrick are going to run PS4 this Saturday everyone will know of the return . @user,Positive,Neutral
"""Kanye West would make a better president than Donald Trump. I'm just saying, also Grapple Seed will be back on monday.""",Positive,Negative
Murray sprinting along baseline getting everything back to the South African. But 3rd BP saved.,Neutral,Positive
"I'm at my follow limit. Rude. I will go on my iPad tomorrow and unfollow all the little bitches who ain't following back. K, bye.",Negative,Positive
Desperation Day (February 13th)  the most well known day in all mens life.,Negative,Positive
Gambled on Chocolate Day as a successful theme day at work..turns out chdn DO like chocolate. Wed. is Gross Day. Hope kids like gross stuff.,Positive,Neutral
The side project of Iron Maiden bassist Steve Harris is out on the road! Playing live Bristol Bierkeller 30th...,Positive,Neutral
"My 1st live event Intercontinental Champion ""Rowdy""Roddy Piper tagged with Hogan against Sid Justice &amp; Ric Flair. #RIPRoddyPiper",Positive,Neutral
Wondering WHAT to do tomorrow in the RAIN? Come on down to Lil\u2019 Iguana\u2019s Children\u2019s Safety Foundation for their...,Neutral,Positive
On Thursday over fifty countries and international organisations will come together for the London Conference on...,Neutral,Positive
This Naruto opening came out while I was in 8th grade and I went to the restroom just to watch it in awful quality:,Neutral,Negative
"""Jersey Friday, Danny elfman, does it get any better? @user @user",Positive,Negative
I have too many books to read.  Grey Cloud Atlas Twilight  Harry Potter 2nd Gen! How I Live Now If I stay Don't make me think,Positive,Negative
"""It was just a """"man"""" that executed a Texas Deputy: If I may ...    Seems a black and gay man can be outed when ...",Neutral,Negative
As a liberal dude\u002c I would have seriously considered voting for Jon Huntsman.  I may be wrong but he seems like a reasonable guy.,Neutral,Negative
"""Royals Rumblings for October 17. The Royals are the future of baseball, expensive WS tix and #bringbacksungwoo",Positive,Neutral
Sat for 3 hours in a restaurant to watch Rousey for 34 sec. &amp; I would do it again!!! #Rousey #BestFight @user @user,Positive,Neutral
Lol watch how the media paints Nicki as an angry black woman tomorrow morning and miley as the victim #bye,Negative,Neutral
Kurt may have been drugged again with Rohypnol\u002c possibly in the Root Beer can found at the scene. After he was incapacitated\u002c the murderer,Negative,Neutral
@user but I kept trying to tell people starting on April 1st 1994 that I knew Kurt Cobain was going to die.,Neutral,Negative
Chief Justice of India says he will constitute a bench to hear tomorrow Yakub's plea against death warrant @user @user,Neutral,Negative
"@user Bitch I'm Nicki you Iggy, I'm Romans Revenge you Black Friday, I'm Nickis Flawless you Lil Kim's Flawless, I'm Tink you Chanel West""",Neutral,Negative
"""Tonight's YouGov: Lab 35, Con 30, UKIP 15, LibDem 9, Green 5. &gt;not one for the Sun's front page or a Nick Robinson analysis I think""",Negative,Neutral
We need to let go of Frank Ocean. He died on the 31st of July. He's gone,Negative,Neutral
Mets captain David Wright returns to action tonight in his first game since April 14.,Neutral,Positive
If this goes all the way to the 5th.... Odds lie with Murray to take the match. #usopen #SSTennis,Neutral,Negative
@user So pumped that you worked your way back up Miesha &amp; I know you'll get the W in the 3rd fight with Rousey!,Positive,Neutral
really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick,Negative,Positive
"""I don't know why but the song, Staring At The Sun by Jason Aldean makes me feel better""",Positive,Negative
I'm done with SATs. If anyone wants my sat book w/ notes hit me up. I'll let you have it.,Positive,Negative
"""RIP Frank Gifford.Golden Boy. HOF player in NFL and last of Mohicans from Mon Night Football crew.Cosell , Meredith and the GIFFER...;(""",Negative,Positive
I can not change yesterday. I can only make the most to day\u002c and look with hope toward tomorrow. (Anonymous),Negative,Positive
LIES!You said that on Lana Del Rey's new album there was a collab with Sam Smith and guess what? It's a fucking lie!,Negative,Positive
The 1st Amendment is being ignored while the new federal right to marriage equality made up by SCOTUS (marriage...,Negative,Neutral
Just caught the end of TFI Friday. Chris Evans is like the Harold Zidler of Wetherspoons.,Neutral,Negative
Just realized I don't miss you that much.  The sun is out. Nothing is better than today. I have reached nirvana. I think I need to pee.,Positive,Negative
@user @user now that Rick Perry is out of the the GOP race ... MAY THE BEST HAIR WIN!,Negative,Positive
@user September 22 is a Bastard Bearded Irishmen half way to St. Patty's Day party at Mulligan's. I'm going and Erika's going,Negative,Positive
#bts this arvo with Jess - borrowing some mats from @user for tomorrow's FREE #yoga class.  Yoga is...,Neutral,Positive
@user @user at least there is hope coming around February. I\u2019m looking at a team where JR Smith is the X-Factor.,Positive,Neutral
"""My 62 year old father knew Rousey's fight date before me. Knew it was November but not date. He chimes in """"oh yeah she fights Nov 14""""""",Positive,Neutral
Recording the 4th episode of @user with Kyle and TJ tonight! @user VIPs will have it tomorrow.,Neutral,Positive
Body pls get your shit together and get rid of this flu tomorrow is Star Wars day ffs,Negative,Positive
@user I think St patrick would be disapointed if you didnt get a snake up there for the next paddys day..think its on a thurs too?,Negative,Neutral
All i want tomorrow is for stoke to get rid of shotton and a few others\u002c bring in a LB CAM and ST but knowing pulis- CB CB CB,Neutral,Positive
@user @user @user @user Maybe she did.  She may not like being blamed for the accuser going to Kane's house.,Negative,Neutral
"Nokia is returning to the phone business; this time with an Android phone | Catch News: Back in June, Rajeev S...",Positive,Neutral
"""The Boys' took care of business tonight! 23-17 over the damn viqueens. Felix, Dez, & Romo went HAM!""",Positive,Neutral
@user @user @user that\u2019s up to Phil. He\u2019s a big fan and may want to keep the copy all for himself.,Neutral,Negative
@user KO has been doing it as long as Randy Orton has. Just didn't have the opportunity to showcase himself before May ;),Neutral,Negative
@user It is good news for Times Now as the terrorist may be glorified like Yakub.,Positive,Negative
"If youkblow hard enough on an old Nintendo cartridge, Mar.o will apjeae and give you three extra lives.",Neutral,Negative
ANT-MAN was the 1st time I didn't stay for a Marvel film's post credits scene. The film was just one big teaser. Didn't need to see another.,Negative,Positive
I met a kid like that a day ago and hearing his opinion on gay marriage made me cringe also the fact that he lost his v card in 6th grade,Neutral,Negative
@user September 22 is a Bastard Bearded Irishmen half way to St. Patty's Day party at Mulligan's. I'm going and Erika's going,Negative,Positive
played Wednesday\u002c outclassed a premier league team tonight by the sounds of it! #SWFC #OperationPTL,Positive,Neutral
Wouldn't it be an irony if Yakub's hanging goes ahead as planned tomorrow coinciding with Kalam's funeral? Just asking! @user,Neutral,Negative
I NEED to see Justin tomorrow at the today show but I can't skip class :(,Negative,Positive
Five Great Free Apps and Games for iOS - August 27th Edition:  It's that time of the week again... #News #LCHBuzz,Positive,Neutral
Mad respect for the IAD team..its comforting to know we still have people like them around. May Allah continue to bless this project.,Positive,Negative
Murray a set down and 3-0 down in the 2nd set and bookies are laying Murray at Evens? Ridiculous,Negative,Neutral
For fans of Classic Progressive Metal... Threshold's new one MARCH OF PROGRESS is out NOW! Find it online:...,Positive,Neutral
Red Band End Of Watch Trailer Arrives: Gyllenhaal and Pena vs. the world Back in early May\u002c the green band theat...,Neutral,Positive
The evil empire is throwing the annual Iron Maiden this saturday. Lets show them what we have been up to. Fresh...,Neutral,Positive
"""So sad to hear Frank Gifford died.  I have some fond memories of watching Monday Night Football with my Dad.  Frank, Howard and Dandy Don.""",Neutral,Positive
It's my 6th year on Kpop scene so maybe i know some things that you don't know dear.,Neutral,Positive
Martha Stewart smoked weed with Snoop Dogg because dreams come true,Positive,Neutral
Finally watching Twilight for the 1st time. Now I can see why I avoided it #socringeworthy #awkwardacting :S,Negative,Positive
@user @user CAITLYN Jenner may have saved/helped mils of trans people around the globe.why can't you just be happy for her?,Neutral,Negative
"""Carol, a period romance set in 1950s New York and starring Cate Blanchett, topped nominations for the Golden Globes on Thursday, as""",Negative,Neutral
@user I am very seriously injerd in a road Accident 2nd day of Eid with my sweet sis :-(,Negative,Positive
"""I'm just sat in my room listening to Big Brother downstairs. Not doing anything really, just listening to the telly. What is life.""",Neutral,Negative
Join us Friday night after the Jason Aldean Concert for a special night of music with Corey Cox and Scotty...,Neutral,Positive
@user Erdogan won't appoint Kilicdaroglu until Saturday. Afterwards it will already be too late for a new round of negotiations!,Negative,Positive
@user Messi scored with his 4th touch like omg! Like it's not fair.,Positive,Negative
@user my dad and I are going to Raleigh Saturday if you wanna go,Neutral,Positive
Murray sprinting along baseline getting everything back to the South African. But 3rd BP saved.,Neutral,Positive
Soccer-La Liga top scorers: Oct 29 (Infostrada Sports) - Top scorers of the La Liga on Monday 13 Lionel Messi (B...,Positive,Neutral
For any of those who went to see the Dancing On Ice tour this year the DVD of the tour comes out November 26th 2012,Neutral,Positive
I am not interested in Hayden solving who shot her. But I just sat and watch Curtis like everything he said was the written word. Lawd! #GH,Negative,Neutral
Game plan for the 2nd half. Don't pass it to Asiata.,Negative,Neutral
FEC Approves N2.7bn for Abuja Roads Rehabilitation  The Federal Executive Council on Wednesday approved the sum...,Positive,Neutral
Commodities tomorrow: Low oil prices hits Saudi Arabia hard: CNBC's Jackie DeAngelis discusses the day's activ...,Neutral,Negative
Idk how I feel about The Kandi Factory. Kinda cheesy? Yeah. This was a bad first episode. Not good enough to be a Sunday night show.,Negative,Positive
who ever wins LSU vs Bama this saturday is going to the National Championship,Neutral,Positive
Going to watch Goon for the 4th time\u002c cry\u002c then go to sleep. #NHLLockout,Negative,Neutral
"""See what Max Hastings was trying2say with 'Boris Bikes' comment, just wish he'd said 'Cycle Super Highways' instead!",Positive,Negative
So it's the start of October. 30 days till Halloween. Trust some dickhead to dress up as Joseph Kony on the 31st.,Negative,Neutral
"""Iran ranks 1st in liver surgeries, Allah bless the country.""",Positive,Negative
"""Paul Dunne with a great quote post round on his thoughts on the 1st tee tomorrow leading the Open ... """"Make contact.""""""",Positive,Neutral
Tomorrow night: Practice with the @user team\u002c black vs gold baseball game\u002c & a Mizzou vs SC volleyball game. #OneMizzou,Neutral,Positive
RT @user Steve Jobs biography may be available in time for the iPad 3,Neutral,Negative
World should appreciate incredible restraint Israel is showing in the face of repeated attacks against its citizens!,Neutral,Negative
